date,current_rate,inflation,exchange_rate,unemployment,bond_3y,us_policy_rate
2001-01,5.25,3.4392212117330567,1265.5,4.4,5.99,5.98
2001-02,5.0,3.6266700719906675,1245.7,4.7,5.43,5.49
2001-03,5.0,4.01194371208029,1328.0,4.6,5.84,5.31
2001-04,5.0,4.833436986716411,1324.7,4.1,6.59,4.8
2001-05,5.0,5.263410959562775,1292.9,3.9,6.46,4.21
2001-06,5.0,5.034365083161907,1300.7,3.8,6.04,3.97
2001-07,4.75,4.812426542994186,1301.4,3.8,5.75,3.77
2001-08,4.5,4.690487854986802,1283.8,3.7,5.15,3.65
2001-09,4.0,3.2512714905301277,1309.1,3.7,4.89,3.07
2001-10,4.0,3.352853908019071,1296.1,3.6,4.74,2.49
2001-11,4.0,3.3743873319090234,1274.0,3.7,5.34,2.09
2001-12,4.0,3.1639231395130585,1326.1,3.6,5.93,1.82
2002-01,4.0,2.6376075784781294,1314.8,3.6,6.08,1.73
2002-02,4.0,2.6263497589303464,1327.7,3.5,5.92,1.74
2002-03,4.0,2.3134009284143664,1326.4,3.4,6.3,1.73
2002-04,4.0,2.497718284149686,1292.2,3.4,6.47,1.75
2002-05,4.25,2.9797341535088284,1233.3,3.3,6.3,1.75
2002-06,4.25,2.5885889533294737,1201.8,3.1,5.93,1.75
2002-07,4.25,2.1063159170808587,1197.0,3.1,5.7,1.73
2002-08,4.25,2.3835761189523685,1200.5,3.3,5.37,1.74
2002-09,4.25,3.0552113867818864,1225.5,3.0,5.37,1.75
2002-10,4.25,2.7666132785349573,1233.4,3.1,5.39,1.75
2002-11,4.25,3.4541973132332426,1208.0,3.1,5.29,1.34
2002-12,4.25,3.7327468527225793,1200.4,3.1,5.28,1.24
2003-01,4.25,3.811003197200913,1170.5,3.3,4.96,1.24
2003-02,4.25,3.8859870317002887,1186.8,3.3,4.73,1.26
2003-03,4.25,4.523678044266677,1252.9,3.4,4.78,1.25
2003-04,4.25,3.748775637410584,1213.1,3.4,4.6,1.26
2003-05,4.0,3.1759174379749844,1206.6,3.6,4.27,1.26
2003-06,4.0,2.990928060854503,1193.1,3.6,4.07,1.22
2003-07,3.75,3.1877949600783495,1180.0,3.6,4.37,1.01
2003-08,3.75,2.979771172446344,1179.9,3.6,4.62,1.03
2003-09,3.75,3.332649111489072,1150.2,3.7,4.25,1.01
2003-10,3.75,3.7139958537338424,1177.3,3.7,4.28,1.01
2003-11,3.75,3.431408552080728,1202.6,3.9,4.77,1.0
2003-12,3.75,3.420040648623357,1197.8,3.7,4.87,0.98
2004-01,3.75,3.395075179777729,1173.6,3.6,4.88,1.0
2004-02,3.75,3.2855099475532112,1174.5,3.6,4.83,1.01
2004-03,3.75,3.065653825284853,1153.6,3.6,4.58,1.0
2004-04,3.75,3.2514161469359593,1167.7,3.6,4.54,1.0
2004-05,3.75,3.34900117508814,1165.7,3.7,4.39,1.0
2004-06,3.75,3.6311645016668503,1152.5,3.5,4.28,1.03
2004-07,3.75,4.359269380123698,1168.3,3.7,4.19,1.26
2004-08,3.5,4.790607774357514,1153.8,3.7,3.82,1.43
2004-09,3.5,3.850901712615462,1147.9,3.6,3.59,1.61
2004-10,3.5,3.75962233657976,1126.0,3.7,3.54,1.76
2004-11,3.25,3.3189893911635737,1047.9,3.7,3.42,1.93
2004-12,3.25,3.035487063480824,1043.8,3.8,3.28,2.16
2005-01,3.25,3.4030236609902786,1026.4,3.9,3.65,2.28
2005-02,3.25,3.3642480450991163,1008.1,3.7,4.19,2.5
2005-03,3.25,2.98832102630886,1024.3,3.7,4.04,2.63
2005-04,3.25,3.092226486194427,1002.5,3.7,3.86,2.79
2005-05,3.25,3.0768590801314444,1002.5,3.7,3.71,3.0
2005-06,3.25,2.76626131809925,1024.4,3.8,3.79,3.04
2005-07,3.25,2.552335276525941,1028.3,3.7,4.12,3.26
2005-08,3.25,1.9742864559850082,1031.0,3.6,4.33,3.5
2005-09,3.25,2.4825456681832447,1038.0,3.9,4.52,3.62
2005-10,3.5,2.2789687256629776,1042.7,3.9,4.81,3.78
2005-11,3.5,2.489347079037807,1036.3,3.6,5.1,4.0
2005-12,3.75,2.6181099661072738,1013.0,3.5,5.06,4.16
2006-01,3.75,2.2243661168030116,971.0,3.4,5.02,4.29
2006-02,4.0,2.015103123477524,969.0,3.6,4.87,4.49
2006-03,4.0,2.0030132637413045,975.9,3.6,4.93,4.59
2006-04,4.0,2.000994449894522,945.7,3.5,4.95,4.79
2006-05,4.0,2.3029944308429195,947.4,3.4,4.78,4.94
2006-06,4.25,2.4124996626817996,960.3,3.5,4.89,4.99
2006-07,4.25,2.4001182589063808,953.1,3.5,4.89,5.24
2006-08,4.5,2.6917305321828566,959.6,3.5,4.77,5.25
2006-09,4.5,2.4797354948805417,945.2,3.5,4.69,5.25
2006-10,4.5,2.186777808947493,944.2,3.6,4.62,5.25
2006-11,4.5,2.0976113517790607,929.9,3.5,4.72,5.25
2006-12,4.5,2.0899913084174715,929.6,3.4,4.82,5.24
2007-01,4.5,1.6814876845981042,940.9,3.4,4.97,5.25
2007-02,4.5,2.1703081678406955,938.3,3.2,4.91,5.26
2007-03,4.5,2.158861619212149,940.3,3.2,4.79,5.26
2007-04,4.5,2.4492108244841937,929.4,3.3,4.94,5.25
2007-05,4.5,2.3484549638395746,929.9,3.3,5.1,5.25
2007-06,4.5,2.5480224500013193,926.8,3.2,5.24,5.25
2007-07,4.75,2.539403404244145,923.2,3.3,5.35,5.26
2007-08,5.0,2.039271968164913,939.9,3.2,5.28,5.02
2007-09,5.0,2.3247645314044885,920.7,3.2,5.39,4.94
2007-10,5.0,3.015843965697562,907.4,3.2,5.42,4.76
2007-11,5.0,3.5178981937602494,929.6,3.3,5.54,4.49
2007-12,5.0,3.6058573898464896,938.2,3.1,5.89,4.24
2008-01,5.0,3.8903994980129752,943.9,3.0,5.44,3.94
2008-02,5.0,3.575833906799808,937.3,3.0,5.06,2.98
2008-03,5.0,3.938603738510804,991.7,3.0,5.15,2.61
2008-04,5.0,4.116459407672246,999.7,3.1,4.98,2.28
2008-05,5.0,4.874351199958893,1031.4,3.2,5.28,1.98
2008-06,5.0,5.5437072819774835,1043.4,3.1,5.7,2.0
2008-07,5.0,5.903959863823682,1008.5,3.1,5.96,2.01
2008-08,5.25,5.6132364975450155,1081.8,3.3,5.77,2.0
2008-09,5.25,5.1083847180726005,1187.7,3.2,5.81,1.81
2008-10,4.25,4.81580650482849,1291.4,3.3,5.09,0.97
2008-11,4.0,4.532822354478894,1482.7,3.4,4.97,0.39
2008-12,3.0,4.139012149024657,1257.5,3.4,3.97,0.16
2009-01,2.5,3.7472317294141355,1368.5,3.3,3.44,0.15
2009-02,2.0,4.104248411076705,1516.4,3.3,3.78,0.22
2009-03,2.0,3.881264360678127,1377.1,3.5,3.69,0.18
2009-04,2.0,3.5819273239297234,1348.0,3.7,3.76,0.15
2009-05,2.0,2.7342888643880903,1272.9,3.9,3.83,0.18
2009-06,2.0,1.992672030772602,1284.7,3.9,4.09,0.21
2009-07,2.0,1.6181855535548184,1240.5,3.8,4.09,0.16
2009-08,2.0,2.1622799583524976,1244.9,3.9,4.42,0.16
2009-09,2.0,2.160318362706093,1188.7,3.6,4.4,0.15
2009-10,2.0,1.981888181311886,1200.6,3.6,4.47,0.12
2009-11,2.0,2.4388467374810263,1167.4,3.7,4.32,0.12
2009-12,2.0,2.800606980273135,1167.6,3.6,4.24,0.12
2010-01,2.0,3.518496058217102,1156.5,4.7,4.29,0.11
2010-02,2.0,2.98392437834909,1158.4,4.0,4.19,0.13
2010-03,2.0,2.458153993304646,1130.8,3.6,3.94,0.16
2010-04,2.0,2.5983162815101046,1115.5,3.6,3.77,0.2
2010-05,2.0,2.7020581431399293,1200.2,3.3,3.7,0.2
2010-06,2.0,2.6889292022723943,1210.3,3.5,3.75,0.18
2010-07,2.25,2.530742335228209,1187.2,3.8,3.88,0.18
2010-08,2.25,2.681788016685638,1189.1,3.5,3.73,0.19
2010-09,2.25,3.407570537183724,1142.0,3.7,3.48,0.19
2010-10,2.25,3.682554757523593,1126.6,3.7,3.24,0.19
2010-11,2.5,2.988718240424726,1157.3,3.3,3.4,0.19
2010-12,2.5,3.033702557804485,1138.9,3.7,3.25,0.18
2011-01,2.75,3.44108446298228,1114.3,3.6,3.71,0.17
2011-02,2.75,3.939291184827476,1127.9,3.6,3.94,0.16
2011-03,3.0,4.133215085885,1107.2,3.7,3.74,0.14
2011-04,3.0,3.816785021094593,1072.3,3.5,3.74,0.1
2011-05,3.0,3.911619914545783,1080.6,3.3,3.66,0.09
2011-06,3.25,4.217756650898985,1078.1,3.3,3.65,0.09
2011-07,3.25,4.509708400027845,1052.6,3.4,3.77,0.07
2011-08,3.25,4.68567867323737,1071.7,3.2,3.57,0.1
2011-09,3.25,3.759002484628504,1179.5,3.3,3.45,0.08
2011-10,3.25,3.5620641881447535,1104.5,3.3,3.47,0.07
2011-11,3.25,4.174625457390735,1150.3,3.3,3.39,0.08
2011-12,3.25,4.158118531592758,1153.3,3.2,3.36,0.07
2012-01,3.25,3.345868068140634,1125.0,3.3,3.37,0.08
