date,current_rate,inflation,exchange_rate,unemployment,gdp_growth,bond_3y,us_policy_rate,rate_after_3_months
2023-01,3.50,5.20,1231.9,3.60,0.90,3.26,4.50,3.50
2023-02,3.50,4.80,1305.7,3.10,0.90,3.44,4.75,3.50
2023-03,3.50,4.20,1301.9,2.90,0.90,3.27,5.00,3.50
2023-04,3.50,3.70,1337.7,2.80,0.90,3.29,5.00,3.50
2023-05,3.50,3.30,1327.4,2.70,0.90,3.46,5.25,3.50
2023-06,3.50,2.70,1317.7,2.60,0.90,3.66,5.25,3.50
2023-07,3.50,2.30,1274.6,2.70,1.40,3.64,5.25,3.50
2023-08,3.50,3.40,1323.4,2.00,1.40,3.78,5.50,3.50
2023-09,3.50,3.70,1349.3,2.30,1.40,3.88,5.50,3.50
2023-10,3.50,3.80,1350.7,2.50,1.40,4.09,5.50,3.50
2023-11,3.50,3.30,1290.0,2.70,1.40,3.69,5.50,3.50
2023-12,3.50,3.20,1288.0,3.30,1.40,3.15,5.50,3.50
2024-01,3.50,2.80,1334.6,3.70,2.00,3.30,5.50,3.50
2024-02,3.50,3.10,1331.5,3.20,2.00,3.39,5.50,3.50
2024-03,3.50,3.10,1347.2,3.00,2.00,3.32,5.50,3.50
2024-04,3.50,2.90,1382.0,2.80,2.00,3.53,5.50,3.50
2024-05,3.50,2.70,1384.5,2.70,2.00,3.45,5.50,3.50
2024-06,3.50,2.40,1380.1,2.80,2.00,3.22,5.50,3.25
2024-07,3.50,2.60,1383.4,2.50,1.50,3.05,5.50,3.25
2024-08,3.50,2.00,1336.0,1.90,1.50,2.94,5.50,3.00
2024-09,3.50,1.60,1319.6,2.10,1.50,2.81,5.25,3.00
2024-10,3.25,1.30,1379.9,2.30,1.50,2.94,5.00,3.00
2024-11,3.25,1.50,1394.7,2.20,1.50,2.81,4.75,2.75
2024-12,3.00,1.90,1472.5,3.70,1.50,2.60,4.75,2.75
